xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =   -7.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.016140
Cy    =    0.000000
Cd    =    0.019784     ICd   =    0.001857     PCd   =    0.017927
Cl   = -1.80217e-15
Cm   =    0.249301
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    4.079263     YCP   =   -0.000000     ZCP   =    2.278465  
XNP   =    0.000000
Bending =    6.745672

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.2423     0.1841     0.000    0.000000    0.011436   -0.000000    0.024103    0.000000     1.0000    1.0000    0.2394    0.0000
   -0.2142     0.1946     0.000    0.000000    0.011221   -0.000000    0.020740    0.000000     1.0000    1.0000    0.2376    0.0000
   -0.1857     0.2053     0.000    0.000000    0.011021   -0.000000    0.017782    0.000000     1.0000    1.0000    0.2351    0.0000
   -0.1576     0.2158     0.000    0.000000    0.010810   -0.000000    0.015176    0.000000     0.9970    0.9970    0.2319    0.0000
   -0.1302     0.2261     0.000    0.000000    0.010570   -0.000000    0.012888    0.000000     0.9903    0.9903    0.2278    0.0000
   -0.1044     0.2358     0.000    0.000000    0.010321   -0.000000    0.010932    0.000000     0.9838    0.9838    0.2236    0.0000
   -0.0804     0.2447     0.000    0.000000    0.010103   -0.000000    0.009319    0.000000     0.9792    0.9792    0.2200   -0.0000
   -0.0589     0.2528     0.000    0.000000    0.009891   -0.000000    0.007990    0.000000     0.9744    0.9744    0.2143   -0.0000
   -0.0403     0.2598     0.000    0.000000    0.009711   -0.000000    0.006935    0.000000     0.9708    0.9707    0.2075   -0.0000
   -0.0249     0.2656     0.000    0.000000    0.009565   -0.000000    0.006128    0.000000     0.9682    0.9682    0.2034   -0.0000
   -0.0131     0.2700     0.000    0.000000    0.009453   -0.000000    0.005542    0.000000     0.9664    0.9664    0.1925   -0.0000
   -0.0051     0.2730    -0.000    0.000000    0.009380    0.000000    0.005163    0.000000     0.9653    0.9653    0.1854   -0.0000
   -0.0010     0.2745    -0.000    0.000000    0.009343    0.000000    0.004976    0.000000     0.9648    0.9648    0.1832   -0.0000


Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
   0       1.545e-01      -2.979e+00       6.771e-02           0.212           0.024           0.977       6.929e-05          0.1355
   1       1.499e-01      -2.979e+00       6.868e-02           0.197           0.025           0.980       2.016e-04          0.1789
   2       1.394e-01      -2.979e+00       7.069e-02           0.173           0.027           0.985       3.163e-04          0.1825
   3       1.239e-01      -2.979e+00       7.331e-02           0.152           0.028           0.988       4.049e-04          0.1939
   4       1.046e-01      -2.978e+00       7.611e-02           0.125           0.030           0.992       4.601e-04          0.1912
   5       8.324e-02      -2.978e+00       7.864e-02           0.095           0.031           0.995       4.779e-04          0.1675
   6       6.139e-02      -2.978e+00       8.057e-02           0.066           0.032           0.997       4.574e-04          0.1311
   7       4.086e-02      -2.978e+00       8.178e-02           0.036           0.032           0.999       4.004e-04          0.0770
   8       2.331e-02      -2.978e+00       8.226e-02          -0.003           0.033           0.999       3.115e-04         -0.0619
   9       1.018e-02      -2.978e+00       8.211e-02          -0.055           0.033           0.998       1.979e-04         -0.4619
  10       2.514e-03      -2.978e+00       8.159e-02          -0.178           0.033           0.984       6.880e-05         -2.2460
Strip 2
  11       1.574e-01      -2.936e+00       6.603e-02           0.212           0.024           0.977       2.091e-04          0.1620
  12       1.527e-01      -2.936e+00       6.702e-02           0.197           0.025           0.980       6.084e-04          0.2283
  13       1.420e-01      -2.936e+00       6.907e-02           0.173           0.027           0.985       9.546e-04          0.2541
  14       1.262e-01      -2.936e+00       7.173e-02           0.152           0.028           0.988       1.222e-03          0.2788
  15       1.066e-01      -2.936e+00       7.459e-02           0.125           0.030           0.992       1.388e-03          0.2767
  16       8.482e-02      -2.936e+00       7.717e-02           0.095           0.031           0.995       1.442e-03          0.2380
  17       6.255e-02      -2.936e+00       7.913e-02           0.066           0.032           0.997       1.380e-03          0.1696
  18       4.163e-02      -2.936e+00       8.036e-02           0.036           0.032           0.999       1.208e-03          0.0625
  19       2.376e-02      -2.936e+00       8.086e-02          -0.003           0.033           0.999       9.401e-04         -0.1502
  20       1.037e-02      -2.936e+00       8.070e-02          -0.055           0.033           0.998       5.973e-04         -0.6362
  21       2.561e-03      -2.936e+00       8.017e-02          -0.178           0.033           0.984       2.076e-04         -2.6264
Strip 3
  22       1.632e-01      -2.852e+00       6.273e-02           0.212           0.024           0.977       3.519e-04          0.1695
  23       1.583e-01      -2.852e+00       6.376e-02           0.197           0.025           0.980       1.024e-03          0.2414
  24       1.472e-01      -2.852e+00       6.589e-02           0.173           0.027           0.985       1.607e-03          0.2730
  25       1.308e-01      -2.852e+00       6.865e-02           0.152           0.028           0.988       2.057e-03          0.3016
  26       1.105e-01      -2.852e+00       7.161e-02           0.125           0.030           0.992       2.337e-03          0.2992
  27       8.791e-02      -2.852e+00       7.428e-02           0.095           0.031           0.995       2.427e-03          0.2549
  28       6.483e-02      -2.852e+00       7.631e-02           0.066           0.032           0.997       2.323e-03          0.1765
  29       4.315e-02      -2.852e+00       7.759e-02           0.036           0.032           0.999       2.034e-03          0.0577
  30       2.462e-02      -2.852e+00       7.811e-02          -0.003           0.033           0.999       1.582e-03         -0.1663
  31       1.075e-02      -2.852e+00       7.794e-02          -0.055           0.033           0.998       1.005e-03         -0.6670
  32       2.655e-03      -2.852e+00       7.739e-02          -0.178           0.033           0.984       3.494e-04         -2.6990
Strip 4
  33       1.715e-01      -2.731e+00       5.795e-02           0.212           0.024           0.977       4.978e-04          0.1710
  34       1.663e-01      -2.731e+00       5.903e-02           0.197           0.025           0.980       1.448e-03          0.2440
  35       1.547e-01      -2.731e+00       6.126e-02           0.173           0.027           0.985       2.273e-03          0.2766
  36       1.375e-01      -2.731e+00       6.416e-02           0.152           0.028           0.988       2.909e-03          0.3059
  37       1.162e-01      -2.731e+00       6.728e-02           0.125           0.030           0.992       3.305e-03          0.3036
  38       9.240e-02      -2.731e+00       7.008e-02           0.095           0.031           0.995       3.433e-03          0.2587
  39       6.814e-02      -2.731e+00       7.222e-02           0.066           0.032           0.997       3.286e-03          0.1794
  40       4.535e-02      -2.730e+00       7.357e-02           0.036           0.032           0.999       2.877e-03          0.0597
  41       2.588e-02      -2.730e+00       7.411e-02          -0.003           0.033           0.999       2.238e-03         -0.1651
  42       1.130e-02      -2.730e+00       7.393e-02          -0.055           0.033           0.998       1.422e-03         -0.6664
  43       2.790e-03      -2.730e+00       7.335e-02          -0.178           0.033           0.984       4.943e-04         -2.6989
Strip 5
  44       1.821e-01      -2.576e+00       5.186e-02           0.212           0.024           0.977       6.441e-04          0.1713
  45       1.766e-01      -2.576e+00       5.300e-02           0.197           0.025           0.980       1.874e-03          0.2447
  46       1.643e-01      -2.576e+00       5.538e-02           0.173           0.027           0.985       2.940e-03          0.2776
