xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.800900
Cy    =   -0.000000
Cd    =    0.021557     ICd   =    0.008913     PCd   =    0.012644
Cl   = -8.27946e-14
Cm   =   -0.553993
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.062780     YCP   =    0.000000     ZCP   =    0.012815  
XNP   =    0.000000
Bending =   71.243434

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  67       2.022e-01      -2.193e+00       3.805e-02           0.197           0.025           0.980       2.655e-03          0.3795
  68       1.880e-01      -2.192e+00       4.077e-02           0.173           0.027           0.985       4.166e-03          0.4862
  69       1.671e-01      -2.192e+00       4.430e-02           0.152           0.028           0.988       5.333e-03          0.5998
  70       1.412e-01      -2.192e+00       4.808e-02           0.125           0.030           0.992       6.060e-03          0.6983
  71       1.123e-01      -2.192e+00       5.149e-02           0.095           0.031           0.995       6.294e-03          0.7795
  72       8.282e-02      -2.192e+00       5.409e-02           0.066           0.032           0.997       6.025e-03          0.8676
  73       5.512e-02      -2.192e+00       5.572e-02           0.036           0.032           0.999       5.274e-03          0.9925
  74       3.145e-02      -2.192e+00       5.638e-02          -0.003           0.033           0.999       4.103e-03          1.1810
  75       1.373e-02      -2.192e+00       5.617e-02          -0.055           0.033           0.998       2.607e-03          1.5774
  76       3.391e-03      -2.192e+00       5.547e-02          -0.178           0.033           0.984       9.061e-04          2.5416
Strip 8
  77       2.231e-01      -1.978e+00       2.829e-02           0.212           0.024           0.977       1.016e-03          0.2463
  78       2.164e-01      -1.978e+00       2.970e-02           0.197           0.025           0.980       2.956e-03          0.3804
  79       2.013e-01      -1.978e+00       3.261e-02           0.173           0.027           0.985       4.638e-03          0.4874
  80       1.789e-01      -1.978e+00       3.638e-02           0.152           0.028           0.988       5.938e-03          0.6015
  81       1.511e-01      -1.978e+00       4.044e-02           0.125           0.030           0.992       6.746e-03          0.7006
  82       1.202e-01      -1.978e+00       4.409e-02           0.095           0.031           0.995       7.008e-03          0.7823
  83       8.866e-02      -1.978e+00       4.687e-02           0.066           0.032           0.997       6.708e-03          0.8711
  84       5.901e-02      -1.978e+00       4.862e-02           0.036           0.032           0.999       5.872e-03          0.9970
  85       3.367e-02      -1.978e+00       4.932e-02          -0.003           0.033           0.999       4.568e-03          1.1872
  86       1.470e-02      -1.978e+00       4.910e-02          -0.055           0.033           0.998       2.902e-03          1.5873
  87       3.630e-03      -1.978e+00       4.834e-02          -0.178           0.033           0.984       1.009e-03          2.5648
Strip 9
  88       2.381e-01      -1.759e+00       1.968e-02           0.212           0.024           0.977       1.084e-03          0.2464
  89       2.310e-01      -1.759e+00       2.118e-02           0.197           0.025           0.980       3.155e-03          0.3804
  90       2.148e-01      -1.759e+00       2.428e-02           0.173           0.027           0.985       4.950e-03          0.4875
  91       1.909e-01      -1.759e+00       2.831e-02           0.152           0.028           0.988       6.337e-03          0.6016
  92       1.613e-01      -1.759e+00       3.264e-02           0.125           0.030           0.992       7.200e-03          0.7006
  93       1.283e-01      -1.759e+00       3.654e-02           0.095           0.031           0.995       7.479e-03          0.7824
  94       9.462e-02      -1.759e+00       3.951e-02           0.066           0.032           0.997       7.159e-03          0.8711
  95       6.298e-02      -1.759e+00       4.137e-02           0.036           0.032           0.999       6.267e-03          0.9970
  96       3.594e-02      -1.759e+00       4.212e-02          -0.003           0.033           0.999       4.875e-03          1.1871
  97       1.569e-02      -1.759e+00       4.188e-02          -0.055           0.033           0.998       3.097e-03          1.5872
  98       3.875e-03      -1.759e+00       4.108e-02          -0.178           0.033           0.984       1.077e-03          2.5644
Strip 10
  99       2.529e-01      -1.545e+00       1.123e-02           0.212           0.024           0.977       1.107e-03          0.2461
 100       2.452e-01      -1.545e+00       1.282e-02           0.197           0.025           0.980       3.221e-03          0.3799
 101       2.281e-01      -1.545e+00       1.612e-02           0.173           0.027           0.985       5.054e-03          0.4868
 102       2.027e-01      -1.545e+00       2.040e-02           0.152           0.028           0.988       6.469e-03          0.6006
 103       1.713e-01      -1.545e+00       2.499e-02           0.125           0.030           0.992       7.351e-03          0.6993
