xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    4.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.283901
Cy    =   -0.000000
Cd    =    0.051101     ICd   =    0.022148     PCd   =    0.028954
Cl   = -1.31251e-13
Cm   =    -1.04922
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.093205     YCP   =    0.000000     ZCP   =    0.029951  
XNP   =    0.000000
Bending =  109.061761

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.0131     0.2700     0.000    0.000000    0.009453   -0.000000   -0.002602    0.000000     0.9664    0.9664    0.1937   -0.0000
   -0.0051     0.2730     0.000    0.000000    0.009380   -0.000000   -0.002826    0.000000     0.9653    0.9653    0.1875   -0.0000
   -0.0010     0.2745     0.000    0.000000    0.009343   -0.000000   -0.002936    0.000000     0.9648    0.9648    0.1845   -0.0000


Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
   0       1.545e-01      -2.979e+00       6.771e-02           0.212           0.024           0.977       6.929e-05          0.1737
   1       1.499e-01      -2.979e+00       6.868e-02           0.197           0.025           0.980       2.016e-04          0.2415
   2       1.394e-01      -2.979e+00       7.069e-02           0.173           0.027           0.985       3.163e-04          0.2789
   3       1.239e-01      -2.979e+00       7.331e-02           0.152           0.028           0.988       4.049e-04          0.3306
   4       1.046e-01      -2.978e+00       7.611e-02           0.125           0.030           0.992       4.601e-04          0.3799
   5       8.324e-02      -2.978e+00       7.864e-02           0.095           0.031           0.995       4.779e-04          0.4270
   6       6.139e-02      -2.978e+00       8.057e-02           0.066           0.032           0.997       4.574e-04          0.4943
   7       4.086e-02      -2.978e+00       8.178e-02           0.036           0.032           0.999       4.004e-04          0.6118
   8       2.331e-02      -2.978e+00       8.226e-02          -0.003           0.033           0.999       3.115e-04          0.8093
   9       1.018e-02      -2.978e+00       8.211e-02          -0.055           0.033           0.998       1.979e-04          1.2008
